[main] 14:09:04,701 ERROR [AllureLifecycle] Could not start step: no test case running
[main] 14:09:06,152 ERROR [AllureLifecycle] Could not update step: no step running
[main] 14:09:06,152 ERROR [AllureLifecycle] Could not stop step: no step running
[main] 14:09:06,152 ERROR [AllureLifecycle] Could not start step: no test case running
[main] 14:09:06,164 ERROR [AllureLifecycle] Could not update step: no step running
[main] 14:09:06,164 ERROR [AllureLifecycle] Could not stop step: no step running
[main] 14:09:06,165 ERROR [AllureLifecycle] Could not start step: no test case running
[main] 14:09:06,165 ERROR [AllureLifecycle] Could not update step: no step running
[main] 14:09:06,165 ERROR [AllureLifecycle] Could not stop step: no step running
[main] 14:09:06,165 ERROR [AllureLifecycle] Could not start step: no test case running
[main] 14:09:06,165 ERROR [AllureLifecycle] Could not update step: no step running
[main] 14:09:06,165 ERROR [AllureLifecycle] Could not stop step: no step running
[main] 14:09:06,166 ERROR [AllureLifecycle] Could not start step: no test case running
[main] 14:09:06,166 ERROR [AllureLifecycle] Could not update step: no step running
[main] 14:09:06,166 ERROR [AllureLifecycle] Could not stop step: no step running
[TestNG-tests-1] 14:09:59,947 INFO  [pCloudyAndroidTest] Test Case started
